"ID","Titre","Description","Type","Statut","Priorite","Labels","Estimation","Cycle","ParentID"
"EPIC-01","Generiser le domaine metier","Retirer les traces openclassrooms et rendre le domaine reutilisable","Epic","In Progress","High","architecture|refactor|generic","8","Sprint 1",""
"EPIC-02","Renforcer la qualite des tests","Structurer les tests par fonctionnalite avec couverture mesurable","Epic","In Progress","High","tests|quality","8","Sprint 1",""
"EPIC-03","Durcir la securite applicative","Mettre en place hygiene secrets et scans securite en continu","Epic","Todo","Urgent","security|jwt|cve","8","Sprint 1",""
"EPIC-04","Stabiliser les performances","Mesurer puis ameliorer les performances des endpoints critiques","Epic","Backlog","Medium","performance|observability","5","Sprint 2",""
"EPIC-05","Professionnaliser le workflow","Standardiser CI CD et conventions equipe pour un starter kit propre","Epic","Todo","High","devops|ci|workflow","8","Sprint 2",""
"EPIC-06","Finaliser le rendu de mission","Produire un rendu complet et presentable pour evaluation","Epic","Todo","High","delivery|documentation|planning","5","Sprint 3",""
"STORY-01","Renommer etudiant vers user","Faire evoluer le vocabulaire metier pour un usage generique","Story","Todo","High","refactor|domain","5","Sprint 1","EPIC-01"
"TASK-01","Creer les packages user","Introduire les nouveaux packages java et deplacer les classes concernees","Task","Todo","High","refactor|java","3","Sprint 1","EPIC-01"
"TASK-02","Mettre a jour les docs architecture","Aligner architecture et data model sur le nouveau vocabulaire","Task","Backlog","Medium","docs|architecture","2","Sprint 2","EPIC-01"
"BUG-01","Supprimer references openclassrooms restantes","Corriger imports noms de package et mentions historiques oubliees","Bug","Todo","Medium","cleanup|naming","2","Sprint 1","EPIC-01"
"STORY-02","Organiser les tests par fonctionnalite","Clarifier unit integration et parcours metier dans la suite de tests","Story","In Progress","High","tests|structure","5","Sprint 1","EPIC-02"
"TASK-03","Ajouter tests limites JWT","Verifier expiration signature invalide et token malforme","Task","Todo","High","tests|jwt","3","Sprint 1","EPIC-02"
"TASK-04","Ajouter tests auth flow negatif","Couvrir login invalide acces sans token et token expire","Task","Todo","High","tests|integration","3","Sprint 1","EPIC-02"
"TASK-05","Configurer seuil de couverture","Activer jacoco et fixer un seuil minimal en CI","Task","Backlog","Medium","quality|coverage|ci","2","Sprint 2","EPIC-02"
"STORY-03","Externaliser les secrets","Lire jwt secret et credentials via variables environnement","Story","Todo","Urgent","security|config","5","Sprint 1","EPIC-03"
"TASK-06","Ajouter scan CVE en CI","Executer un controle dependances sur PR et nightly","Task","Todo","High","security|cve|ci","3","Sprint 1","EPIC-03"
"TASK-07","Activer secret scanning","Ajouter detection de secrets dans les commits et PR","Task","Backlog","High","security|secrets|ci","2","Sprint 2","EPIC-03"
"TASK-08","Documenter rotation des secrets","Definir procedure simple de rotation et de revoquation","Task","Backlog","Medium","security|runbook|docs","2","Sprint 2","EPIC-03"
"STORY-04","Mesurer la performance de base","Definir baseline sur endpoints login et me","Story","Backlog","Medium","performance|baseline","3","Sprint 2","EPIC-04"
"TASK-09","Ajouter script benchmark","Creer un script reproductible pour comparer les evolutions","Task","Backlog","Medium","performance|tooling","2","Sprint 2","EPIC-04"
"TASK-10","Ajuster logs et serialization","Limiter les surcouts inutiles de logs et conversion json","Task","Backlog","Low","performance|logging|jackson","2","Sprint 3","EPIC-04"
"BUG-02","Corriger lenteur au demarrage des tests","Identifier et corriger les elements qui allongent le setup","Bug","Backlog","Medium","tests|performance","2","Sprint 2","EPIC-04"
"STORY-05","Standardiser la pipeline Maven","Uniformiser verify test package et publication des rapports","Story","Todo","High","ci|maven","5","Sprint 2","EPIC-05"
"TASK-11","Ajouter template pull request","Imposer checklist qualite securite et tests dans les PR","Task","Done","Medium","workflow|github","1","Sprint 1","EPIC-05"
"TASK-12","Activer formatage automatique","Ajouter regles de style et verification automatique en CI","Task","Todo","Medium","quality|lint|format","2","Sprint 2","EPIC-05"
"TASK-13","Publier artefact interne","Preparer publication versionnee du module auth-core","Task","Backlog","Low","release|artifact","3","Sprint 3","EPIC-05"
"STORY-06","Assembler le dossier de rendu","Rassembler preuves techniques decisions et plan projet","Story","Todo","High","delivery|exam","3","Sprint 3","EPIC-06"
"TASK-14","Importer backlog dans Plane","Creer cycles sprint et verifier le mapping des champs","Task","Todo","High","planning|plane","2","Sprint 3","EPIC-06"
"TASK-15","Ajouter guide installation Debian","Documenter setup local VM et prerequis execution","Task","Todo","Medium","docs|onboarding","2","Sprint 3","EPIC-06"
"TASK-16","Finaliser release notes v1 0 0","Produire changelog clair orientee evaluateur","Task","Backlog","Medium","release|changelog","2","Sprint 3","EPIC-06"
